"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 09/10/2023

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 36.8167 North,-120.2250 East" 
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
pet: ASCE Grass Reference Evapotranspiration (ETo)
srad: Downward Shortwave Radiation
rmin: Min Rel. Humidity
rmax: Max Rel. Humidity
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm),pet(mm),srad(Wm-2),rmin(%),rmax(%)
2019,5,1,9.45,26.65,0,5.7,343.1,30.2,100
2019,5,2,10.25,29.55,0,7,352,20,82.3
2019,5,3,10.85,31.55,0,6.7,332.8,15.9,75.3
2019,5,4,11.45,31.95,0,6.7,324.1,15.1,71.7
2019,5,5,10.75,27.65,0,6.7,337.5,21.5,76.1
2019,5,6,11.75,25.65,0,6,347,31.4,85.3
2019,5,7,11.35,27.35,0,6.1,349,33.5,100
2019,5,8,12.45,29.25,0,6.3,348.3,33.2,100
2019,5,9,13.75,28.15,1.6,5.8,335.1,39.5,100
2019,5,10,12.65,25.65,0,5.1,318.2,42.4,100
2019,5,11,13.75,30.85,0,6.6,354,24.9,83.9
2019,5,12,13.25,32.85,0,7.7,355.7,23.1,90.6
2019,5,13,12.85,32.25,0,7.9,353.9,22.2,87.3
2019,5,14,13.25,30.05,0,7.2,321.3,24.5,81.8
2019,5,15,13.45,25.25,8.3,4.3,134.7,36.6,85.1
2019,5,16,10.05,20.85,2.6,4,262.9,49.2,100
2019,5,17,9.15,22.25,0,4.6,253.6,37.2,94.5
2019,5,18,8.55,21.95,11.3,3.6,196.7,42.4,100
2019,5,19,8.55,18.15,4,3.1,244.4,58.5,100
2019,5,20,8.55,22.15,0,4.7,323.8,40.1,100
2019,5,21,11.95,20.95,6.2,4.3,182.7,40.8,79.9
2019,5,22,12.55,22.65,0,5.2,302.6,40.9,85
2019,5,23,13.55,25.45,1,4.3,218.9,36.3,85.1
2019,5,24,13.55,26.85,0,5.8,357.3,35.9,91
2019,5,25,13.35,28.55,0.6,6.3,363.5,32.3,92.7
2019,5,26,8.55,17.05,6.5,3.3,231.1,54.9,100
2019,5,27,8.45,21.05,0,4.2,269.7,41.9,100
2019,5,28,13.55,25.05,0,5.3,295.7,39.6,89.1
2019,5,29,15.65,30.35,0,6.5,361.8,33.5,91.7
2019,5,30,15.15,31.95,0,7.2,363.9,31.2,97.3
2019,5,31,16.15,32.15,0,6.9,356.9,29.2,88.1
2019,6,1,16.95,33.85,0,7.3,359.7,31.1,94.2
2019,6,2,16.75,33.15,0,7.1,355.1,35.9,100
2019,6,3,17.55,33.95,0,7.2,358.2,37.2,100
2019,6,4,20.45,36.75,0,7.9,358.3,33.4,94.8
2019,6,5,19.85,39.15,0,8.5,357.4,29.4,99.9
2019,6,6,14.25,33.65,0,8.2,362.6,30,100
2019,6,7,12.55,28.45,0,7.7,372.2,28.9,86.6
2019,6,8,12.85,31.05,0,8,374.2,24,84.4
2019,6,9,15.25,36.45,0,7.3,364.3,18.8,80.5
2019,6,10,19.65,39.25,0,8.8,355.5,17.9,69.6
2019,6,11,20.55,39.45,0,8.6,350.2,19.3,70.7
2019,6,12,20.25,40.85,0,8.7,358.2,18.5,74.7
2019,6,13,16.45,36.85,0,8.9,361.6,26.7,100
2019,6,14,15.75,34.35,0,7.9,365.9,29.5,99.2
2019,6,15,15.65,33.65,0,7.8,356.9,31.3,100
2019,6,16,14.85,33.65,0,7.6,367.5,31.7,100
2019,6,17,16.95,36.15,0,7.5,362,29.6,100
2019,6,18,19.95,38.25,0,8.8,362.1,29.9,96.2
2019,6,19,18.05,38.15,0,8.8,363.3,27.7,100
2019,6,20,15.75,32.55,0,7.2,363.7,35.3,100
2019,6,21,14.75,31.85,0,8.1,369,29.3,92
2019,6,22,14.75,34.55,0,8.4,372.1,19.8,78.2
2019,6,23,16.85,37.05,0,8.8,369.2,18.2,74
2019,6,24,17.35,37.45,0,8.6,361.4,18.1,73.2
2019,6,25,15.55,35.95,0,9.2,363.1,19.3,78.6
2019,6,26,14.55,31.75,0,8.4,364.5,23.5,78
2019,6,27,12.55,29.25,0,7.5,358.6,25.3,81.5
2019,6,28,13.15,29.55,0,7,338.6,25.3,79.7
2019,6,29,13.45,33.65,0,9,362.9,17.4,73.5
2019,6,30,14.95,34.65,0,9.2,371.3,16.6,68.6
2019,7,1,13.85,34.55,0,9.3,369,20.3,83.9
2019,7,2,13.55,34.05,0,8.5,358.6,19.9,81.9
2019,7,3,14.15,33.15,0,8.4,363.2,24.7,89
2019,7,4,14.35,34.35,0,8.4,366,22.8,88.1
2019,7,5,16.85,36.65,0,8.8,364.4,20.7,79.7
2019,7,6,16.55,36.75,0,8.7,346.5,18.7,75.7
2019,7,7,14.95,34.15,0,8.6,351.5,21.2,79.7
2019,7,8,13.75,33.25,0,8.8,362.7,21.7,82.9
2019,7,9,13.85,33.05,0,7.7,363,21.3,80.6
2019,7,10,16.55,34.95,0,8.2,357.3,23.3,81.2
2019,7,11,17.55,36.65,0,9.6,357.9,22.4,81.3
2019,7,12,17.25,37.45,0,8.8,355.8,22.5,86.3
2019,7,13,18.55,39.55,0,9.8,357.5,19.4,79.7
2019,7,14,18.75,39.55,0,10.6,356.7,17,71.6
2019,7,15,17.85,37.95,0,10.4,359.8,16.5,68.3
2019,7,16,16.75,36.15,0,9.6,355.6,21.7,80.9
2019,7,17,15.45,35.35,0,7.6,353.1,22.5,86.1
2019,7,18,17.85,37.35,0,7.6,352.4,19.9,75.6
2019,7,19,17.55,35.25,0,7.4,351.4,26.5,86.1
2019,7,20,17.35,34.85,0,7.3,351.6,25.2,82.1
2019,7,21,17.95,37.15,0,7.3,336.7,22.7,82.1
2019,7,22,20.45,39.45,0,8.1,345.5,19.1,70.6
2019,7,23,21.25,39.15,0,8.6,327,17.3,61.9
2019,7,24,20.75,40.15,0,9.1,343.8,15.8,62.8
2019,7,25,22.15,40.05,0,8.3,305.7,14.6,55
2019,7,26,19.85,40.25,0,9.2,344.5,12,55.3
2019,7,27,18.95,39.85,0,8.9,350.8,11.8,56.1
2019,7,28,21.25,41.65,0,9.3,350,8.9,45.9
2019,7,29,17.45,39.25,0,9.7,340.2,13.2,63.6
2019,7,30,16.15,36.55,0,9.4,349.2,14.3,63.4
2019,7,31,17.05,36.65,0,7.7,347.1,10.7,50.6
2019,8,1,17.35,36.75,0,8,342.3,14,58.7
2019,8,2,17.45,36.15,0,9.5,338,21.2,76
2019,8,3,18.15,38.45,0,8.6,314.6,18.3,73.7
2019,8,4,19.95,39.35,0,8.9,330.8,17.2,66.6
2019,8,5,20.05,36.75,0,7.9,302.8,22.2,70
2019,8,6,20.55,38.75,0,8.2,287.3,15.1,57.3
2019,8,7,18.65,37.55,0,8.2,306.2,13.4,55.3
2019,8,8,16.55,34.35,0,8.5,331.6,18,65
2019,8,9,15.85,32.95,0,8.1,327.6,22.5,74
2019,8,10,16.75,32.35,0,7.4,323.8,31.4,88.2
2019,8,11,15.75,32.55,0,7.5,328.3,29,88.9
2019,8,12,16.65,35.65,0,8,328.4,19.2,72.2
2019,8,13,17.95,38.05,0,8,326.4,13.9,60.3
2019,8,14,19.45,39.95,0,9.4,325.5,11.3,53.3
2019,8,15,20.95,40.85,0,9.5,323.5,10.8,49.9
2019,8,16,20.85,41.45,0,9,323.1,9.8,48.6
