"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 09/10/2023

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 37.1917 North,-120.7250 East" 
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
pet: ASCE Grass Reference Evapotranspiration (ETo)
srad: Downward Shortwave Radiation
rmin: Min Rel. Humidity
rmax: Max Rel. Humidity
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm),pet(mm),srad(Wm-2),rmin(%),rmax(%)
2018,5,1,10.25,24.65,0,5.2,280.6,30.4,88.2
2018,5,2,9.75,25.75,0,5.5,345.8,28.6,92.2
2018,5,3,10.05,26.95,0,5.9,347.6,29,97.5
2018,5,4,11.35,30.85,0,6.5,350.5,21.4,88.9
2018,5,5,13.05,30.65,0,5.7,298.5,22.4,82.1
2018,5,6,11.25,27.45,0,6.1,334.2,27.6,89.9
2018,5,7,11.15,30.35,0,7.2,356.8,23.6,94.1
2018,5,8,12.05,32.25,0,7.4,340.5,20.4,88.5
2018,5,9,11.35,29.15,0,6.6,352,28.9,100
2018,5,10,11.05,29.65,0,6.9,350.7,24.7,94.1
2018,5,11,11.45,27.65,0,7,354.8,25.3,84.1
2018,5,12,12.55,27.95,0,6.7,358.8,20.1,68.3
2018,5,13,11.05,27.15,0,6.1,355.3,27.1,88.2
2018,5,14,11.15,27.65,0,6.1,355.2,29.3,95.6
2018,5,15,11.85,26.75,0,5.8,354.9,33.1,95.7
2018,5,16,10.55,23.45,0,4.9,307.7,37.9,96
2018,5,17,10.35,27.65,0,6.6,358.5,27.6,95.9
2018,5,18,11.95,29.15,0,6.7,355.8,31.2,100
2018,5,19,11.75,28.85,0,6.6,345.1,29.5,98.8
2018,5,20,10.75,25.85,0,5.9,340.7,31.3,93.3
2018,5,21,12.05,27.55,0,6.3,347.2,30.3,92.3
2018,5,22,13.15,27.95,0,6.1,358.3,33.2,94.9
2018,5,23,12.65,27.55,0,6.1,360.5,34,97.3
2018,5,24,12.25,25.65,0,5.4,336.1,36.7,95.4
2018,5,25,12.15,21.35,0.5,3.2,175.1,48.8,95
2018,5,26,11.55,24.65,0,5.8,328.3,36.5,93.9
2018,5,27,11.95,29.75,0,6.5,363.9,28.7,100
2018,5,28,15.75,34.45,0,7.8,367.5,20.4,80.1
2018,5,29,17.15,36.85,0,7.7,364.8,17.6,75.3
2018,5,30,11.55,26.65,0,6.3,367.5,28.7,87.1
2018,5,31,9.05,23.65,0,6.1,376.8,24.5,76.6
2018,6,1,9.25,28.55,0,7,365.4,23.9,94.3
2018,6,2,13.95,34.75,0,7.6,365.5,17.4,78.4
2018,6,3,16.65,39.05,0,8.4,362.6,13.4,70
2018,6,4,13.25,35.35,0,9.7,364.1,16,79.5
2018,6,5,12.25,31.25,0,8,360.1,14.2,63.3
2018,6,6,11.85,27.45,0,7,368.5,24.6,77.9
2018,6,7,11.25,29.65,0,7.2,366.8,26.4,95.6
2018,6,8,11.75,32.05,0,8.6,369.6,18.6,81.3
2018,6,9,12.75,26.75,0,7.1,361.6,31.3,85.4
2018,6,10,12.55,27.95,0,8.6,368.5,18.9,63.7
2018,6,11,12.15,31.95,0,8.3,359.1,18.7,79.3
2018,6,12,14.85,36.55,0,8.7,365,16.4,78.3
2018,6,13,16.55,37.75,0,8.9,366.7,15.6,72.8
2018,6,14,15.75,34.85,0,8,369.9,17.3,70.9
2018,6,15,13.75,31.15,0,6.9,368.2,21.9,77.8
2018,6,16,12.85,29.05,0,6.5,365.9,28.2,88.6
2018,6,17,12.95,26.85,0,5.8,353.3,34.3,91.2
2018,6,18,13.65,31.55,0,7.9,365.7,25.1,88.2
2018,6,19,15.75,34.15,0,8.1,361.1,21.3,79.2
2018,6,20,14.25,34.65,0,8.3,368.3,20.5,86
2018,6,21,13.25,34.55,0,8.9,372.7,13.7,68.9
2018,6,22,15.65,38.05,0,9.9,374.6,10.3,59.9
2018,6,23,17.65,38.15,0,10.2,368.1,12.4,60.4
2018,6,24,16.15,36.95,0,8.7,366.3,16.2,73.4
2018,6,25,14.95,32.75,0,7.3,363.7,25.8,88.8
2018,6,26,15.15,36.25,0,9.1,369.9,13.9,68
2018,6,27,14.05,34.85,0,8.8,369.9,10.4,56.7
2018,6,28,13.65,32.45,0,8.1,369.7,15.9,67.1
2018,6,29,15.05,34.95,0,9.2,365.9,17.3,74.1
2018,6,30,17.35,37.15,0,8.6,365.3,15.3,66.9
2018,7,1,17.05,37.05,0,9.4,363.1,17.9,75
2018,7,2,15.75,34.15,0,8.3,361.6,24.5,87.6
2018,7,3,15.45,31.65,0,6.7,364.9,29.7,90.6
2018,7,4,14.65,31.85,0,6.8,363.4,28.4,92.7
2018,7,5,14.75,34.15,0,7.3,358.7,18.5,75.6
2018,7,6,20.35,36.35,0,10,361,13.7,51
2018,7,7,18.95,37.85,0,10.9,353.3,12.6,55.9
2018,7,8,17.85,37.65,0,11.3,363.4,8.9,48.4
2018,7,9,17.45,37.85,0,11.1,359.2,10,53.1
2018,7,10,17.05,37.65,0,10.1,359.7,13.8,64.9
2018,7,11,16.45,37.95,0,8.2,359.8,12.9,65.3
2018,7,12,19.75,37.85,0,7.2,337.1,14.5,58.5
2018,7,13,21.85,37.35,0,8.3,342.5,22.3,68.4
2018,7,14,20.55,38.15,0,9.1,343.8,24.1,80.5
2018,7,15,19.15,37.55,0,9.6,353.4,21.9,78.8
2018,7,16,18.85,38.75,0,9.9,354.1,16.3,69.2
2018,7,17,18.25,39.25,0,10.1,357.4,13.9,65.9
2018,7,18,17.75,40.55,0,9.5,335.7,13.4,70.6
2018,7,19,20.25,39.85,0,8.3,342.8,17.2,70
2018,7,20,20.55,37.85,0,7.8,318.1,24.4,80
2018,7,21,21.05,36.65,0,7.6,340.5,34,94.6
2018,7,22,20.25,37.05,0,8.4,338.8,27.8,86.3
2018,7,23,20.65,38.15,0,9.1,340.8,26.3,85.4
2018,7,24,20.05,39.35,0,10,347.3,20.6,78.3
2018,7,25,19.65,40.55,0,11.4,346.6,15.4,69.3
2018,7,26,18.65,39.45,0,10.6,347,13.1,62.9
2018,7,27,17.55,38.85,0,10.3,349.9,11.8,60.9
2018,7,28,16.55,37.55,0,9.4,348.6,13.1,64.4
2018,7,29,17.75,37.45,0,9.6,340.1,13.7,61.8
2018,7,30,17.55,36.45,0,9.2,338.5,14.7,62
2018,7,31,18.85,37.85,0,9,327.5,12.4,55.7
2018,8,1,18.35,38.15,0,9.2,330,10.3,49.9
2018,8,2,15.85,37.15,0,9.7,335.5,11.5,58.4
2018,8,3,15.05,36.55,0,9,340.9,12.6,62.6
2018,8,4,15.95,38.05,0,10.6,335.4,11.3,60
2018,8,5,14.95,35.55,0,9,338,12.9,60.9
2018,8,6,14.85,35.75,0,9.7,341.3,10.2,53.4
2018,8,7,15.45,36.25,0,8.4,336.8,11.2,56.1
2018,8,8,15.75,38.75,0,8.5,334.9,10,58.1
2018,8,9,16.95,39.45,0,7.7,334,9.8,55.4
2018,8,10,18.65,39.05,0,9.5,329.3,10.7,52.2
2018,8,11,17.35,38.15,0,8.3,319.3,14.6,65.6
2018,8,12,16.25,39.05,0,8.1,315.1,11,60.7
2018,8,13,16.35,36.45,0,7.6,318.7,12.4,57.3
2018,8,14,15.55,34.35,0,7.6,321.2,15.8,63.3
2018,8,15,15.45,33.75,0,7,317.5,21,75.7
2018,8,16,16.85,36.05,0,7.5,315.5,20.1,76
2018,8,17,18.65,38.65,0,8.9,314.7,17,69.4
2018,8,18,17.95,38.65,0,9.1,319.5,12.8,59.5
2018,8,19,16.75,38.45,0,8.6,319.4,9,50.9
2018,8,20,15.35,36.05,0,7.6,311.7,11.7,57.3
2018,8,21,14.75,32.05,0,6.1,315.2,20.3,70.5
2018,8,22,14.55,32.15,0,6,314.1,21.7,75.3
2018,8,23,14.25,31.55,0,6.2,313.5,22.2,75.3
2018,8,24,13.45,31.05,0,6,310.2,23.8,81.2
2018,8,25,14.25,32.05,0,6,304.3,23.3,80.4
2018,8,26,13.85,33.35,0,6.9,309.3,16.2,67.7
2018,8,27,13.75,31.15,0,5.8,304.5,19.8,70
2018,8,28,14.75,30.25,0,5.4,298.4,31.5,89.6
2018,8,29,14.75,30.55,0,5.4,283.4,30.1,87.8
2018,8,30,14.25,29.45,0,5.6,287.6,32.4,90.4
2018,8,31,13.05,31.45,0,6.7,299.7,27.1,93.8
2018,9,1,14.95,33.15,0,6.6,294.8,21.5,74.6
2018,9,2,16.35,36.05,0,7.1,293.6,18.7,71.8
2018,9,3,16.65,34.05,0,7,288.6,21.7,71.2
2018,9,4,15.65,35.65,0,7,287.3,17.6,70.3
2018,9,5,15.45,35.85,0,7.5,285.1,16.3,68
2018,9,6,14.35,33.85,0,7.2,284.1,19.6,74.6
2018,9,7,13.85,36.95,0,7.6,285.4,14.8,73.9
2018,9,8,13.35,35.75,0,7.5,285.8,13.7,67.7
2018,9,9,12.55,34.75,0,7.5,284.8,13.9,68.2
2018,9,10,12.95,33.85,0,7.3,282,14,63.8
2018,9,11,13.15,34.55,0,7.7,270.9,13,62
2018,9,12,10.75,29.65,0,6.5,277.3,16.6,65.8
2018,9,13,10.25,28.35,0,5.1,273,21.8,77.5
2018,9,14,11.85,29.25,0,5.2,228.5,19,66.5
2018,9,15,11.25,28.25,0,6.4,272.5,18.3,63.5
2018,9,16,9.95,28.45,0,5.7,271.3,21.2,77.8
2018,9,17,10.85,30.05,0,5.6,267.9,20.7,78.6
2018,9,18,11.05,29.15,0,5.8,265.5,21.3,75.6
2018,9,19,11.05,30.15,0,6.2,265.8,19,73.2
2018,9,20,11.85,32.35,0,5.4,262.1,14.5,64.7
2018,9,21,11.95,35.05,0,5.6,259.9,9.5,56
2018,9,22,13.75,34.85,0,6.2,256.7,11.1,54.8
2018,9,23,12.95,34.35,0,6.5,253.5,12.1,59.2
2018,9,24,12.25,33.05,0,6,255.5,10.5,53
2018,9,25,12.95,33.95,0,6.1,252.7,10.3,52.4
2018,9,26,13.35,35.05,0,6.2,247.7,12.3,60.9
2018,9,27,14.05,35.75,0,5.7,243.8,13.6,64.5
2018,9,28,13.65,31.85,0,5,231.8,19.6,70.1
2018,9,29,12.55,26.65,0,4.1,221.2,33,85.2
2018,9,30,13.65,26.95,0,3.8,229.7,34.2,83.3
