"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 09/10/2023

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 38.1917 North,-121.2250 East" 
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
pet: ASCE Grass Reference Evapotranspiration (ETo)
srad: Downward Shortwave Radiation
rmin: Min Rel. Humidity
rmax: Max Rel. Humidity
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm),pet(mm),srad(Wm-2),rmin(%),rmax(%)
2019,5,1,7.15,25.65,0,5.4,343.4,30.2,97.6
2019,5,2,7.75,27.75,0,5.9,348,25.2,90.4
2019,5,3,7.85,28.55,0,5.5,338.7,26.3,97.7
2019,5,4,7.35,27.35,0,5.3,343,29.4,100
2019,5,5,9.15,22.85,0,4.9,341.8,39.2,91
2019,5,6,9.15,21.45,0,4.5,339.5,46.3,97.4
2019,5,7,8.95,24.65,0,4.9,337.5,42.6,100
2019,5,8,11.65,26.95,0,5.4,342.3,40.4,100
2019,5,9,11.15,24.05,0,4.7,340.7,52.1,100
2019,5,10,11.25,28.15,0,6.3,352,31.2,88.5
2019,5,11,11.85,27.75,0,5.9,351,34.1,90.1
2019,5,12,11.55,27.95,0,5.8,349,35.1,95.3
2019,5,13,11.35,28.05,0,6,345.5,30.8,86.5
2019,5,14,11.65,23.45,0,4.7,285.6,40.9,83.1
2019,5,15,11.25,20.55,20.6,2.4,106.2,59.4,100
2019,5,16,10.65,16.35,7.5,3.1,221.9,64.2,86.8
2019,5,17,9.45,20.55,0,3.5,234.4,44.1,86.2
2019,5,18,9.15,17.05,22.1,2.7,163.9,59.3,92.9
2019,5,19,6.85,16.25,10.7,2.8,224.5,60.5,100
2019,5,20,6.55,20.85,0.3,4.1,301.5,41.3,100
2019,5,21,10.15,19.45,3.5,4.1,250.3,45.7,79.5
2019,5,22,9.35,24.25,0,5,328,39.1,97.7
2019,5,23,12.55,25.85,0,4.7,241.4,37.7,84.3
2019,5,24,11.55,25.45,0,5.3,352.3,43.6,100
2019,5,25,10.95,23.55,0,5.1,362.5,47.8,100
2019,5,26,9.35,17.75,0,3.5,224.1,52.3,85.4
2019,5,27,10.95,21.55,0,3.2,197.7,44.1,83.1
2019,5,28,11.05,27.35,0,5.2,306.1,38.5,100
2019,5,29,12.65,29.95,0,6.1,357.9,36.7,100
2019,5,30,12.55,27.65,0,5.8,361,41.1,100
2019,5,31,13.05,30.85,0,6.2,359.4,32.7,96.1
2019,6,1,13.55,32.15,0,6.4,348.2,35.7,100
2019,6,2,13.45,29.15,0,5.7,346.9,45.8,100
2019,6,3,13.55,32.05,0,6.1,345.8,39.6,100
2019,6,4,15.65,34.85,0,6.7,349.1,36.1,100
2019,6,5,16.05,35.85,0,7.2,343.5,34,100
2019,6,6,11.75,28.25,0,6.1,357.6,38.8,100
2019,6,7,11.25,26.15,0,6.1,359.7,34.5,92.7
2019,6,8,15.25,30.15,0,8.1,364.7,24.7,69
2019,6,9,15.75,33.95,0,6.9,353.8,22.6,76.5
2019,6,10,17.55,37.75,0,7.7,340.7,23.1,85
2019,6,11,18.05,38.95,0,7.6,351.1,24.2,91.1
2019,6,12,16.75,38.25,0,8,350.1,27.6,100
2019,6,13,13.95,31.95,0,6.5,351.5,38.4,100
2019,6,14,12.75,31.15,0,6.1,354.1,37.9,100
2019,6,15,12.15,28.15,0,5.6,351.4,43.7,100
2019,6,16,12.35,31.05,0,6.2,354.1,36.6,100
2019,6,17,14.35,34.45,0,6.6,351.3,33.1,100
2019,6,18,15.75,37.15,0,8.1,354.7,29.8,100
2019,6,19,14.95,34.55,0,7.3,356.3,31.8,100
2019,6,20,13.75,30.55,0,6.3,354.2,37.6,100
2019,6,21,14.25,30.95,0,7.4,363.4,28,84.5
